gene,SW48-48h-12b1_Read_Count,SW48-48h-12b2_Read_Count,SW48-48h-12b3_Read_Count,SW48-48h-C1_Read_Count,SW48-48h-C2_Read_Count,SW48-48h-C3_Read_Count
A1BG,60,85,59,31,57,45
A2M,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0
NAT1,110,65,93,101,114,85
NAT2,0,0,4,2,0,0
SERPINA3,4,0,0,4,0,0
AADAC,0,0,0,0,0,0
AAMP,6354,5674,5207,5992,6091,5698
AANAT,0,4,0,2,4,0
AARS1,28797,24349,22683,24552,25085,21883
ABAT,958,760,686,732,842,694
ABCA1,0,0,0,0,0,0
ABCA2,22423,21550,21097,17966,20292,19142
ABCA3,9096,8546,8231,8066,8791,7757
ABCB7,3370,2592,2678,2331,2521,2090
ABCF1,4414,3706,3501,3852,4201,3553
ABCA4,73,57,56,42,47,45
ABL1,6246,5271,5103,4773,4949,4431
AOC1,4,21,15,30,12,17
ABL2,5104,4186,4042,4286,4472,3618
ABO,1674,1534,1491,1648,1920,1702
ABR,9039,8126,7694,7037,7877,6748
ACAA1,2300,1959,1835,2461,2582,2294
ACACA,8429,7489,7087,7993,9101,7806
ACACB,2159,1795,1848,1509,1672,1524
ACADL,0,0,0,0,0,0
ACADM,1100,940,788,1110,1152,807
ACADS,2319,2338,1985,1911,1976,1822
ACADSB,2374,1788,1641,1735,1956,1561
ACADVL,25528,20740,20698,23642,25808,23153
ACAT1,6153,5095,4553,6155,6488,5433
ACAT2,1101,1032,841,1293,1352,1166
ASIC2,0,0,0,0,0,0
ASIC1,6368,5438,5329,4875,5178,4729
ACHE,38,31,34,22,43,36
ACLY,10438,9075,8409,9900,10423,9064
ACO1,4155,3592,3112,3856,4188,3459
ACR,29,45,24,11,20,17
ACO2,13013,11403,10807,10980,12048,10504
ACOX1,2629,2122,1962,2303,2377,1987
ACP1,5922,4709,4486,4920,5027,4276
ACP2,968,868,880,1126,1141,1037
ACP5,0,0,0,0,0,0
ACP3,0,0,0,3,0,0
ACRV1,5,4,0,4,0,4
ACTA1,11,5,12,18,17,12
ACTA2,368,316,273,383,412,391
ACTB,132923,121476,113922,107809,111718,102485
ACTBP2,3,6,1,4,1,1
ACTBP4,3,0,0,3,1,2
ACTBP7,14,9,15,21,22,17
ACTBP8,0,0,1,0,0,1
ACTBP9,1,4,1,2,0,0
ACTC1,0,0,0,0,0,0
ACTG1,279081,248600,237700,166715,179802,165122
ACTG2,0,0,0,0,0,0
ACTG1P1,34,30,31,27,23,26
ACTG1P3,25,16,25,11,16,32
